"","state","gender","age","race","educd","Number","Proportion"
"1","AK","male","17","american indian or alaska native","Didn't graduate high school",11,0.0021564399137424
"2","AK","male","17","american indian or alaska native","Graduated high school",1,0.0001960399921584
"3","AK","male","17","other asian or pacific islander","Didn't graduate high school",2,0.000392079984316801
"4","AK","male","17","other race, nec","Didn't graduate high school",3,0.000588119976475201
"5","AK","male","17","white","Didn't graduate college",1,0.0001960399921584
"6","AK","male","17","white","Didn't graduate high school",24,0.00470495981180161
"7","AK","male","17","white","Graduated high school",1,0.0001960399921584
"8","AK","male","18 to 29","american indian or alaska native","Didn't graduate college",32,0.00627327974906881
"9","AK","male","18 to 29","american indian or alaska native","Didn't graduate high school",53,0.0103901195843952
"10","AK","male","18 to 29","american indian or alaska native","Graduated college",9,0.0017643599294256
"11","AK","male","18 to 29","american indian or alaska native","Graduated high school",125,0.0245049990198
"12","AK","male","18 to 29","black/african american","Didn't graduate college",5,0.000980199960792001
"13","AK","male","18 to 29","black/african american","Didn't graduate high school",1,0.0001960399921584
"14","AK","male","18 to 29","black/african american","Graduated college",4,0.000784159968633601
"15","AK","male","18 to 29","black/african american","Graduated high school",4,0.000784159968633601
"16","AK","male","18 to 29","japanese","Graduated college",1,0.0001960399921584
"17","AK","male","18 to 29","other asian or pacific islander","Didn't graduate college",19,0.00372475985100961
"18","AK","male","18 to 29","other asian or pacific islander","Didn't graduate high school",4,0.000784159968633601
"19","AK","male","18 to 29","other asian or pacific islander","Graduated college",4,0.000784159968633601
"20","AK","male","18 to 29","other asian or pacific islander","Graduated high school",12,0.0023524799059008
"21","AK","male","18 to 29","other race, nec","Didn't graduate college",28,0.00548911978043521
"22","AK","male","18 to 29","other race, nec","Didn't graduate high school",6,0.0011762399529504
"23","AK","male","18 to 29","other race, nec","Graduated college",4,0.000784159968633601
"24","AK","male","18 to 29","other race, nec","Graduated high school",26,0.00509703979611841
"25","AK","male","18 to 29","white","Didn't graduate college",103,0.0201921191923152
"26","AK","male","18 to 29","white","Didn't graduate high school",18,0.00352871985885121
"27","AK","male","18 to 29","white","Graduated college",57,0.0111742795530288
"28","AK","male","18 to 29","white","Graduated high school",117,0.0229366790825328
"29","AK","male","30 to 44","american indian or alaska native","Didn't graduate college",25,0.00490099980396001
"30","AK","male","30 to 44","american indian or alaska native","Didn't graduate high school",36,0.00705743971770241
"31","AK","male","30 to 44","american indian or alaska native","Graduated college",9,0.0017643599294256
"32","AK","male","30 to 44","american indian or alaska native","Graduated high school",92,0.0180356792785728
"33","AK","male","30 to 44","black/african american","Didn't graduate college",4,0.000784159968633601
"34","AK","male","30 to 44","black/african american","Didn't graduate high school",1,0.0001960399921584
"35","AK","male","30 to 44","black/african american","Graduated college",4,0.000784159968633601
"36","AK","male","30 to 44","black/african american","Graduated high school",12,0.0023524799059008
"37","AK","male","30 to 44","chinese","Didn't graduate college",1,0.0001960399921584
"38","AK","male","30 to 44","other asian or pacific islander","Didn't graduate college",8,0.0015683199372672
"39","AK","male","30 to 44","other asian or pacific islander","Didn't graduate high school",3,0.000588119976475201
"40","AK","male","30 to 44","other asian or pacific islander","Graduated college",6,0.0011762399529504
"41","AK","male","30 to 44","other asian or pacific islander","Graduated high school",21,0.00411683983532641
"42","AK","male","30 to 44","other race, nec","Didn't graduate college",21,0.00411683983532641
"43","AK","male","30 to 44","other race, nec","Didn't graduate high school",2,0.000392079984316801
"44","AK","male","30 to 44","other race, nec","Graduated college",11,0.0021564399137424
"45","AK","male","30 to 44","other race, nec","Graduated high school",19,0.00372475985100961
"46","AK","male","30 to 44","white","Didn't graduate college",109,0.0213683591452656
"47","AK","male","30 to 44","white","Didn't graduate high school",15,0.002940599882376
"48","AK","male","30 to 44","white","Graduated college",155,0.030386198784552
"49","AK","male","30 to 44","white","Graduated high school",93,0.0182317192707312
"50","AK","male","45 to 55","american indian or alaska native","Didn't graduate college",38,0.00744951970201921
"51","AK","male","45 to 55","american indian or alaska native","Didn't graduate high school",19,0.00372475985100961
"52","AK","male","45 to 55","american indian or alaska native","Graduated college",14,0.0027445598902176
"53","AK","male","45 to 55","american indian or alaska native","Graduated high school",92,0.0180356792785728
"54","AK","male","45 to 55","black/african american","Didn't graduate college",4,0.000784159968633601
"55","AK","male","45 to 55","black/african american","Graduated college",5,0.000980199960792001
"56","AK","male","45 to 55","black/african american","Graduated high school",3,0.000588119976475201
"57","AK","male","45 to 55","chinese","Graduated college",2,0.000392079984316801
"58","AK","male","45 to 55","japanese","Graduated high school",1,0.0001960399921584
"59","AK","male","45 to 55","other asian or pacific islander","Didn't graduate college",7,0.0013722799451088
"60","AK","male","45 to 55","other asian or pacific islander","Didn't graduate high school",4,0.000784159968633601
"61","AK","male","45 to 55","other asian or pacific islander","Graduated college",5,0.000980199960792001
"62","AK","male","45 to 55","other asian or pacific islander","Graduated high school",17,0.00333267986669281
"63","AK","male","45 to 55","other race, nec","Didn't graduate college",9,0.0017643599294256
"64","AK","male","45 to 55","other race, nec","Didn't graduate high school",2,0.000392079984316801
"65","AK","male","45 to 55","other race, nec","Graduated college",10,0.001960399921584
"66","AK","male","45 to 55","other race, nec","Graduated high school",18,0.00352871985885121
"67","AK","male","45 to 55","white","Didn't graduate college",126,0.0247010390119584
"68","AK","male","45 to 55","white","Didn't graduate high school",13,0.0025485198980592
"69","AK","male","45 to 55","white","Graduated college",172,0.0337188786512449
"70","AK","male","45 to 55","white","Graduated high school",129,0.0252891589884336
"71","AK","male","60 plus","american indian or alaska native","Didn't graduate college",29,0.00568515977259361
"72","AK","male","60 plus","american indian or alaska native","Didn't graduate high school",42,0.00823367967065281
"73","AK","male","60 plus","american indian or alaska native","Graduated college",10,0.001960399921584
"74","AK","male","60 plus","american indian or alaska native","Graduated high school",57,0.0111742795530288
"75","AK","male","60 plus","black/african american","Didn't graduate college",3,0.000588119976475201
"76","AK","male","60 plus","black/african american","Graduated college",3,0.000588119976475201
"77","AK","male","60 plus","black/african american","Graduated high school",2,0.000392079984316801
"78","AK","male","60 plus","chinese","Graduated college",1,0.0001960399921584
"79","AK","male","60 plus","other asian or pacific islander","Didn't graduate college",3,0.000588119976475201
"80","AK","male","60 plus","other asian or pacific islander","Didn't graduate high school",2,0.000392079984316801
"81","AK","male","60 plus","other asian or pacific islander","Graduated college",2,0.000392079984316801
"82","AK","male","60 plus","other asian or pacific islander","Graduated high school",6,0.0011762399529504
"83","AK","male","60 plus","other race, nec","Didn't graduate college",13,0.0025485198980592
"84","AK","male","60 plus","other race, nec","Didn't graduate high school",5,0.000980199960792001
"85","AK","male","60 plus","other race, nec","Graduated college",7,0.0013722799451088
"86","AK","male","60 plus","other race, nec","Graduated high school",6,0.0011762399529504
"87","AK","male","60 plus","white","Didn't graduate college",144,0.0282297588708096
"88","AK","male","60 plus","white","Didn't graduate high school",30,0.00588119976475201
"89","AK","male","60 plus","white","Graduated college",208,0.0407763183689473
"90","AK","male","60 plus","white","Graduated high school",112,0.0219564791217408
"91","AK","female","17","american indian or alaska native","Didn't graduate high school",16,0.00313663987453441
"92","AK","female","17","chinese","Didn't graduate high school",1,0.0001960399921584
"93","AK","female","17","other race, nec","Didn't graduate high school",5,0.000980199960792001
"94","AK","female","17","other race, nec","Graduated high school",1,0.0001960399921584
"95","AK","female","17","white","Didn't graduate high school",21,0.00411683983532641
"96","AK","female","18 to 29","american indian or alaska native","Didn't graduate college",46,0.00901783963928642
"97","AK","female","18 to 29","american indian or alaska native","Didn't graduate high school",27,0.00529307978827681
"98","AK","female","18 to 29","american indian or alaska native","Graduated college",7,0.0013722799451088
"99","AK","female","18 to 29","american indian or alaska native","Graduated high school",76,0.0148990394040384
"100","AK","female","18 to 29","black/african american","Didn't graduate college",1,0.0001960399921584
"101","AK","female","18 to 29","black/african american","Graduated college",2,0.000392079984316801
"102","AK","female","18 to 29","black/african american","Graduated high school",3,0.000588119976475201
"103","AK","female","18 to 29","chinese","Graduated college",1,0.0001960399921584
"104","AK","female","18 to 29","japanese","Graduated college",1,0.0001960399921584
"105","AK","female","18 to 29","other asian or pacific islander","Didn't graduate college",9,0.0017643599294256
"106","AK","female","18 to 29","other asian or pacific islander","Didn't graduate high school",1,0.0001960399921584
"107","AK","female","18 to 29","other asian or pacific islander","Graduated college",7,0.0013722799451088
"108","AK","female","18 to 29","other asian or pacific islander","Graduated high school",10,0.001960399921584
"109","AK","female","18 to 29","other race, nec","Didn't graduate college",16,0.00313663987453441
"110","AK","female","18 to 29","other race, nec","Didn't graduate high school",6,0.0011762399529504
"111","AK","female","18 to 29","other race, nec","Graduated college",8,0.0015683199372672
"112","AK","female","18 to 29","other race, nec","Graduated high school",18,0.00352871985885121
"113","AK","female","18 to 29","white","Didn't graduate college",72,0.0141148794354048
"114","AK","female","18 to 29","white","Didn't graduate high school",21,0.00411683983532641
"115","AK","female","18 to 29","white","Graduated college",69,0.0135267594589296
"116","AK","female","18 to 29","white","Graduated high school",72,0.0141148794354048
"117","AK","female","30 to 44","american indian or alaska native","Didn't graduate college",39,0.00764555969417761
"118","AK","female","30 to 44","american indian or alaska native","Didn't graduate high school",17,0.00333267986669281
"119","AK","female","30 to 44","american indian or alaska native","Graduated college",18,0.00352871985885121
"120","AK","female","30 to 44","american indian or alaska native","Graduated high school",83,0.0162713193491472
"121","AK","female","30 to 44","black/african american","Didn't graduate college",5,0.000980199960792001
"122","AK","female","30 to 44","black/african american","Graduated college",7,0.0013722799451088
